GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AAY001,AAY002
"G5101430","1800","Virginia","510","Pittsylvania","1430","Pittsylvania",61,4133
"G5101450","1800","Virginia","510","Powhatan","1450","Powhatan",345,5031
"G5101470","1800","Virginia","510","Prince Edward","1470","Prince Edward",63,5921
"G5101490","1800","Virginia","510","Prince George","1490","Prince George",250,4380
"G5101510","1800","Virginia","510","Princess Anne","1510","Princess Anne",85,3574
"G5101530","1800","Virginia","510","Prince William","1530","Prince William",342,5416
"G5101557","1800","Virginia","510","Randolph","1557","Randolph",2,85
"G5101590","1800","Virginia","510","Richmond","1590","Richmond",584,7826
"G5101630","1800","Virginia","510","Rockbridge","1630","Rockbridge",97,1070
"G5101650","1800","Virginia","510","Rockingham","1650","Rockingham",56,1052
"G5101670","1800","Virginia","510","Russell","1670","Russell",13,352
"G5101710","1800","Virginia","510","Shenandoah","1710","Shenandoah",85,791
"G5101750","1800","Virginia","510","Southampton","1750","Southampton",839,6625
"G5101770","1800","Virginia","510","Spotsylvania","1770","Spotsylvania",297,6830
"G5101790","1800","Virginia","510","Stafford","1790","Stafford",193,4343
"G5101810","1800","Virginia","510","Surry","1810","Surry",500,3258
"G5101830","1800","Virginia","510","Sussex","1830","Sussex",542,5988
"G5101850","1800","Virginia","510","Tazewell","1850","Tazewell",13,219
"G5101890","1800","Virginia","510","Warwick","1890","Warwick",21,1024
"G5101910","1800","Virginia","510","Washington","1910","Washington",386,900
"G5101953","1800","Virginia","510","Wood","1953","Wood",1,61
"G5101970","1800","Virginia","510","Wythe","1970","Wythe",11,831
"G5101990","1800","Virginia","510","York","1990","York",45,2020
"G5107100","1800","Virginia","510","Norfolk City","7100","Norfolk City",352,2724
"G5107300","1800","Virginia","510","Petersburg City","7300","Petersburg City",428,1487
"G5107600","1800","Virginia","510","Richmond City","7600","Richmond City",607,2293
