GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AA7001,AA7002
"G4201230","1810","Pennsylvania","420","Warren","1230","Warren",0,0
"G4201250","1810","Pennsylvania","420","Washington","1250","Washington",570,36
"G4201270","1810","Pennsylvania","420","Wayne","1270","Wayne",44,3
"G4201290","1810","Pennsylvania","420","Westmoreland","1290","Westmoreland",245,20
"G4201330","1810","Pennsylvania","420","York","1330","York",607,22
"G4400010","1810","Rhode Island","440","Bristol","0010","Bristol",221,37
"G4400030","1810","Rhode Island","440","Kent","0030","Kent",354,4
"G4400050","1810","Rhode Island","440","Newport","0050","Newport",904,44
"G4400070","1810","Rhode Island","440","Providence","0070","Providence",1263,13
"G4400090","1810","Rhode Island","440","Washington","0090","Washington",867,10
"G4500010","1810","South Carolina","450","Abbeville","0010","Abbeville",88,6672
"G4500110","1810","South Carolina","450","Barnwell","0110","Barnwell",158,4153
"G4500130","1810","South Carolina","450","Beaufort","0130","Beaufort",181,20914
"G4500190","1810","South Carolina","450","Charleston","0190","Charleston",1783,45385
"G4500230","1810","South Carolina","450","Chester","0230","Chester",14,2743
"G4500250","1810","South Carolina","450","Chesterfield","0250","Chesterfield",58,1639
"G4500290","1810","South Carolina","450","Colleton","0290","Colleton",211,21858
"G4500310","1810","South Carolina","450","Darlington","0310","Darlington",57,2731
"G4500370","1810","South Carolina","450","Edgefield","0370","Edgefield",151,8576
"G4500390","1810","South Carolina","450","Fairfield","0390","Fairfield",37,4034
"G4500430","1810","South Carolina","450","Georgetown","0430","Georgetown",102,13867
"G4500450","1810","South Carolina","450","Greenville","0450","Greenville",41,2353
"G4500510","1810","South Carolina","450","Horry","0510","Horry",18,1398
"G4500550","1810","South Carolina","450","Kershaw","0550","Kershaw",78,4847
"G4500570","1810","South Carolina","450","Lancaster","0570","Lancaster",372,1646
"G4500590","1810","South Carolina","450","Laurens","0590","Laurens",29,3308
"G4500630","1810","South Carolina","450","Lexington","0630","Lexington",17,1911
"G4500670","1810","South Carolina","450","Marion","0670","Marion",94,2771
"G4500690","1810","South Carolina","450","Marlboro","0690","Marlboro",84,1709
"G4500710","1810","South Carolina","450","Newberry","0710","Newberry",110,4006
"G4500750","1810","South Carolina","450","Orangeburg","0750","Orangeburg",26,6564
"G4500755","1810","South Carolina","450","Pendleton","0755","Pendleton",48,3485
"G4500790","1810","South Carolina","450","Richland","0790","Richland",321,5238
"G4500830","1810","South Carolina","450","Spartanburg","0830","Spartanburg",33,2391
"G4500850","1810","South Carolina","450","Sumter","0850","Sumter",288,11638
"G4500870","1810","South Carolina","450","Union","0870","Union",68,2846
"G4500890","1810","South Carolina","450","Williamsburg","0890","Williamsburg",47,4518
"G4500910","1810","South Carolina","450","York","0910","York",40,3164
"G4700010","1810","Tennessee","470","Anderson","0010","Anderson",5,260
"G4700030","1810","Tennessee","470","Bedford","0030","Bedford",5,1180
"G4700070","1810","Tennessee","470","Bledsoe","0070","Bledsoe",3,206
"G4700090","1810","Tennessee","470","Blount","0090","Blount",26,805
"G4700130","1810","Tennessee","470","Campbell","0130","Campbell",58,103
"G4700190","1810","Tennessee","470","Carter","0190","Carter",0,262
"G4700250","1810","Tennessee","470","Claiborne","0250","Claiborne",35,327
"G4700290","1810","Tennessee","470","Cocke","0290","Cocke",16,436
"G4700370","1810","Tennessee","470","Davidson","0370","Davidson",130,6305
"G4700430","1810","Tennessee","470","Dickson","0430","Dickson",0,980
"G4700510","1810","Tennessee","470","Franklin","0510","Franklin",1,709
"G4700550","1810","Tennessee","470","Giles","0550","Giles",0,733
"G4700570","1810","Tennessee","470","Grainger","0570","Grainger",182,537
"G4700590","1810","Tennessee","470","Greene","0590","Greene",12,655
"G4700730","1810","Tennessee","470","Hawkins","0730","Hawkins",16,930
"G4700810","1810","Tennessee","470","Hickman","0810","Hickman",6,245
"G4700850","1810","Tennessee","470","Humphreys","0850","Humphreys",13,132
"G4700870","1810","Tennessee","470","Jackson","0870","Jackson",8,481
"G4700890","1810","Tennessee","470","Jefferson","0890","Jefferson",74,783
"G4700930","1810","Tennessee","470","Knox","0930","Knox",24,1271
"G4701030","1810","Tennessee","470","Lincoln","1030","Lincoln",2,720
"G4701190","1810","Tennessee","470","Maury","1190","Maury",11,2626
"G4701250","1810","Tennessee","470","Montgomery","1250","Montgomery",6,2629
"G4701330","1810","Tennessee","470","Overton","1330","Overton",6,355
"G4701430","1810","Tennessee","470","Rhea","1430","Rhea",0,214
"G4701450","1810","Tennessee","470","Roane","1450","Roane",15,670
"G4701470","1810","Tennessee","470","Robertson","1470","Robertson",39,1608
"G4701490","1810","Tennessee","470","Rutherford","1490","Rutherford",37,2701
"G4701550","1810","Tennessee","470","Sevier","1550","Sevier",5,294
"G4701590","1810","Tennessee","470","Smith","1590","Smith",24,2201
"G4701610","1810","Tennessee","470","Stewart","1610","Stewart",18,779
"G4701630","1810","Tennessee","470","Sullivan","1630","Sullivan",3,773
"G4701650","1810","Tennessee","470","Sumner","1650","Sumner",97,3734
"G4701770","1810","Tennessee","470","Warren","1770","Warren",8,476
"G4701790","1810","Tennessee","470","Washington","1790","Washington",36,850
"G4701850","1810","Tennessee","470","White","1850","White",0,283
"G4701870","1810","Tennessee","470","Williamson","1870","Williamson",12,3985
"G4701890","1810","Tennessee","470","Wilson","1890","Wilson",384,2297
"G5000010","1810","Vermont","500","Addison","0010","Addison",116,0
"G5000030","1810","Vermont","500","Bennington","0030","Bennington",45,0
"G5000050","1810","Vermont","500","Caledonia","0050","Caledonia",29,0
"G5000070","1810","Vermont","500","Chittenden","0070","Chittenden",67,0
"G5000090","1810","Vermont","500","Essex","0090","Essex",6,0
"G5000110","1810","Vermont","500","Franklin","0110","Franklin",100,0
"G5000130","1810","Vermont","500","Grand Isle","0130","Grand Isle",14,0
"G5000170","1810","Vermont","500","Orange","0170","Orange",51,0
"G5000190","1810","Vermont","500","Orleans","0190","Orleans",27,0
"G5000210","1810","Vermont","500","Rutland","0210","Rutland",99,0
"G5000250","1810","Vermont","500","Windham","0250","Windham",51,0
"G5000270","1810","Vermont","500","Windsor","0270","Windsor",145,0
"G5100010","1810","Virginia","510","Accomack","0010","Accomack",1860,4542
"G5100030","1810","Virginia","510","Albemarle","0030","Albemarle",400,9226
"G5100070","1810","Virginia","510","Amelia","0070","Amelia",155,7186
"G5100090","1810","Virginia","510","Amherst","0090","Amherst",198,5207
"G5100150","1810","Virginia","510","Augusta","0150","Augusta",196,2880
"G5100170","1810","Virginia","510","Bath","0170","Bath",49,882
"G5100190","1810","Virginia","510","Bedford","0190","Bedford",212,6147
"G5100195","1810","Virginia","510","Berkeley","0195","Berkeley",190,1529
"G5100230","1810","Virginia","510","Botetourt","0230","Botetourt",300,2275
"G5100237","1810","Virginia","510","Brooke","0237","Brooke",39,332
"G5100250","1810","Virginia","510","Brunswick","0250","Brunswick",378,9368
"G5100290","1810","Virginia","510","Buckingham","0290","Buckingham",604,11675
"G5100293","1810","Virginia","510","Cabell","0293","Cabell",25,221
"G5100310","1810","Virginia","510","Campbell","0310","Campbell",263,5368
"G5100330","1810","Virginia","510","Caroline","0330","Caroline",328,10764
"G5100360","1810","Virginia","510","Charles City","0360","Charles City",387,3023
"G5100370","1810","Virginia","510","Charlotte","0370","Charlotte",210,7597
"G5100410","1810","Virginia","510","Chesterfield","0410","Chesterfield",272,6015
"G5100470","1810","Virginia","510","Culpeper","0470","Culpeper",264,8312
"G5100490","1810","Virginia","510","Cumberland","0490","Cumberland",175,6102
"G5100530","1810","Virginia","510","Dinwiddie","0530","Dinwiddie",476,7442
"G5100550","1810","Virginia","510","Elizabeth City","0550","Elizabeth City",75,1734
"G5100570","1810","Virginia","510","Essex","0570","Essex",306,5659
"G5100590","1810","Virginia","510","Fairfax","0590","Fairfax",543,5942
"G5100610","1810","Virginia","510","Fauquier","0610","Fauquier",344,10361
"G5100650","1810","Virginia","510","Fluvanna","0650","Fluvanna",57,2142
"G5100670","1810","Virginia","510","Franklin","0670","Franklin",86,2672
"G5100690","1810","Virginia","510","Frederick","0690","Frederick",610,6417
"G5100710","1810","Virginia","510","Giles","0710","Giles",25,242
"G5100730","1810","Virginia","510","Gloucester","0730","Gloucester",446,5798
"G5100750","1810","Virginia","510","Goochland","0750","Goochland",509,5464
"G5100770","1810","Virginia","510","Grayson","0770","Grayson",30,270
"G5100775","1810","Virginia","510","Greenbrier","0775","Greenbrier",30,494
"G5100810","1810","Virginia","510","Greensville","0810","Greensville",0,4599
"G5100830","1810","Virginia","510","Halifax","0830","Halifax",353,9663
"G5100833","1810","Virginia","510","Hampshire","0833","Hampshire",124,929
"G5100850","1810","Virginia","510","Hanover","0850","Hanover",409,8454
"G5100853","1810","Virginia","510","Hardy","0853","Hardy",197,749
"G5100857","1810","Virginia","510","Harrison","0857","Harrison",51,459
"G5100870","1810","Virginia","510","Henrico","0870","Henrico",715,4846
"G5100890","1810","Virginia","510","Henry","0890","Henry",215,1755
"G5100930","1810","Virginia","510","Isle Of Wight","0930","Isle Of Wight",698,4041
"G5100950","1810","Virginia","510","James City","0950","James City",420,2320
"G5100953","1810","Virginia","510","Jefferson","0953","Jefferson",352,3532
"G5100957","1810","Virginia","510","Kanawha","0957","Kanawha",46,352
"G5100970","1810","Virginia","510","King And Queen","0970","King And Queen",267,6003
"G5100990","1810","Virginia","510","King George","0990","King George",197,3876
"G5101010","1810","Virginia","510","King William","1010","King William",203,5788
"G5101030","1810","Virginia","510","Lancaster","1030","Lancaster",204,3112
"G5101050","1810","Virginia","510","Lee","1050","Lee",21,336
"G5101070","1810","Virginia","510","Loudoun","1070","Loudoun",604,5157
"G5101090","1810","Virginia","510","Louisa","1090","Louisa",157,6490
"G5101110","1810","Virginia","510","Lunenburg","1110","Lunenburg",177,7155
"G5101130","1810","Virginia","510","Madison","1130","Madison",88,3970
"G5101137","1810","Virginia","510","Mason","1137","Mason",0,249
"G5101150","1810","Virginia","510","Matthews","1150","Matthews",41,2068
"G5101170","1810","Virginia","510","Mecklenburg","1170","Mecklenburg",493,10264
"G5101190","1810","Virginia","510","Middlesex","1190","Middlesex",127,2476
"G5101193","1810","Virginia","510","Monongalia","1193","Monongalia",37,351
"G5101197","1810","Virginia","510","Monroe","1197","Monroe",70,376
"G5101210","1810","Virginia","510","Montgomery","1210","Montgomery",57,1099
"G5101230","1810","Virginia","510","Nansemond","1230","Nansemond",1269,4462
"G5101250","1810","Virginia","510","Nelson","1250","Nelson",108,4679
"G5101270","1810","Virginia","510","New Kent","1270","New Kent",308,3725
"G5101290","1810","Virginia","510","Norfolk","1290","Norfolk",587,5647
"G5101310","1810","Virginia","510","Northampton","1310","Northampton",908,3350
"G5101330","1810","Virginia","510","Northumberland","1330","Northumberland",299,3847
"G5101350","1810","Virginia","510","Nottoway","1350","Nottoway",180,6368
"G5101355","1810","Virginia","510","Ohio","1355","Ohio",54,440
"G5101370","1810","Virginia","510","Orange","1370","Orange",96,6516
"G5101410","1810","Virginia","510","Patrick","1410","Patrick",275,724
"G5101415","1810","Virginia","510","Pendleton","1415","Pendleton",25,262
"G5101430","1810","Virginia","510","Pittsylvania","1430","Pittsylvania",150,6312
"G5101450","1810","Virginia","510","Powhatan","1450","Powhatan",498,5091
"G5101470","1810","Virginia","510","Prince Edward","1470","Prince Edward",149,6996
"G5101490","1810","Virginia","510","Prince George","1490","Prince George",463,4486
"G5101510","1810","Virginia","510","Princess Anne","1510","Princess Anne",267,3926
"G5101530","1810","Virginia","510","Prince William","1530","Prince William",358,5220
"G5101557","1810","Virginia","510","Randolph","1557","Randolph",37,111
"G5101590","1810","Virginia","510","Richmond","1590","Richmond",261,3178
"G5101630","1810","Virginia","510","Rockbridge","1630","Rockbridge",149,1724
"G5101650","1810","Virginia","510","Rockingham","1650","Rockingham",213,1491
"G5101670","1810","Virginia","510","Russell","1670","Russell",36,386
"G5101710","1810","Virginia","510","Shenandoah","1710","Shenandoah",147,1038
"G5101750","1810","Virginia","510","Southampton","1750","Southampton",1109,6406
"G5101770","1810","Virginia","510","Spotsylvania","1770","Spotsylvania",565,7135
"G5101790","1810","Virginia","510","Stafford","1790","Stafford",316,4195
"G5101810","1810","Virginia","510","Surry","1810","Surry",664,3440
"G5101830","1810","Virginia","510","Sussex","1830","Sussex",582,6344
"G5101850","1810","Virginia","510","Tazewell","1850","Tazewell",18,328
"G5101890","1810","Virginia","510","Warwick","1890","Warwick",18,1120
"G5101910","1810","Virginia","510","Washington","1910","Washington",127,1448
"G5101930","1810","Virginia","510","Westmoreland","1930","Westmoreland",621,4080
"G5101953","1810","Virginia","510","Wood","1953","Wood",1,450
"G5101970","1810","Virginia","510","Wythe","1970","Wythe",19,1157
"G5101990","1810","Virginia","510","York","1990","York",458,2931
"G5107100","1810","Virginia","510","Norfolk City","7100","Norfolk City",592,3825
"G5107300","1810","Virginia","510","Petersburg City","7300","Petersburg City",1089,2175
"G5107600","1810","Virginia","510","Richmond City","7600","Richmond City",1189,3748
