GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AGS001,AGS002,AGS003,AGS004,AGS005,AGS006,AGS007,AGS008,AGS009,AGS010,AGS011,AGS012,AGS013,AGS014,AGS015,AGS016,AGS017,AGS018,AGS019,AGS020,AGS021,AGT001,AGU001
"G0500630","1860","Arkansas","050","Independence","0630","Independence",90,30,24,17,18,8,6,9,12,11,8,7,3,1,2,0,0,0,0,0,0,246,1337
"G0500650","1860","Arkansas","050","Izard","0650","Izard",20,10,2,1,3,7,2,4,2,9,1,4,0,0,0,0,0,0,0,0,0,65,382
"G0500670","1860","Arkansas","050","Jackson","0670","Jackson",42,40,24,29,15,16,16,12,16,39,16,20,8,3,2,0,0,0,0,0,0,298,2535
"G0500690","1860","Arkansas","050","Jefferson","0690","Jefferson",126,69,50,40,26,22,23,12,15,53,34,24,18,13,16,14,8,0,0,0,0,563,7146
"G0500710","1860","Arkansas","050","Johnson","0710","Johnson",39,28,19,13,15,11,4,8,5,16,5,6,0,0,1,0,0,0,0,0,0,170,973
"G0500730","1860","Arkansas","050","Lafayette","0730","Lafayette",36,26,19,24,16,10,7,9,8,31,17,25,15,9,8,6,5,0,0,0,0,271,4311
"G0500750","1860","Arkansas","050","Lawrence","0750","Lawrence",49,24,15,9,16,7,5,3,2,7,2,0,0,0,0,0,0,0,0,0,0,139,494
"G0500870","1860","Arkansas","050","Madison","0870","Madison",27,11,7,8,9,4,5,3,3,5,0,0,0,0,0,0,0,0,0,0,0,82,296
"G0500890","1860","Arkansas","050","Marion","0890","Marion",30,14,5,7,3,2,1,0,2,5,0,0,1,0,0,0,0,0,0,0,0,70,261
"G0500930","1860","Arkansas","050","Mississippi","0930","Mississippi",17,7,5,2,1,3,2,2,4,5,6,4,6,6,1,4,0,1,0,0,0,76,1461
"G0500950","1860","Arkansas","050","Monroe","0950","Monroe",18,23,10,15,11,10,2,7,9,19,15,23,6,2,5,3,0,0,0,0,0,178,2226
"G0500970","1860","Arkansas","050","Montgomery","0970","Montgomery",6,5,7,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,24,92
"G0501010","1860","Arkansas","050","Newton","1010","Newton",6,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24
"G0501030","1860","Arkansas","050","Ouachita","1030","Ouachita",118,86,65,45,37,34,27,20,18,52,31,30,12,6,4,2,0,0,0,0,0,587,4478
"G0501050","1860","Arkansas","050","Perry","1050","Perry",13,2,4,2,1,1,0,1,1,1,1,0,0,0,1,2,0,0,0,0,0,30,303
"G0501070","1860","Arkansas","050","Phillips","1070","Phillips",61,65,46,46,30,21,17,16,10,60,37,40,35,23,19,13,10,0,0,0,0,549,8941
"G0501090","1860","Arkansas","050","Pike","1090","Pike",17,15,9,6,4,2,5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,63,227
"G0501110","1860","Arkansas","050","Poinsett","1110","Poinsett",30,19,11,11,7,7,2,6,3,16,10,4,2,2,2,1,0,0,0,0,0,133,1086
"G0501130","1860","Arkansas","050","Polk","1130","Polk",27,10,6,5,1,3,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,59,172
"G0501150","1860","Arkansas","050","Pope","1150","Pope",53,42,28,10,15,13,10,5,7,14,9,2,1,0,0,0,0,0,0,0,0,209,978
"G0501170","1860","Arkansas","050","Prairie","1170","Prairie",65,52,35,27,26,16,21,11,15,46,31,16,6,1,2,1,0,0,0,0,0,371,2839
"G0501190","1860","Arkansas","050","Pulaski","1190","Pulaski",85,54,37,20,23,23,15,8,11,43,12,22,8,3,9,3,1,0,0,0,0,377,3505
"G0501210","1860","Arkansas","050","Randolph","1210","Randolph",23,18,8,9,6,2,3,4,3,7,1,1,0,0,0,0,0,0,0,0,0,85,359
"G0501230","1860","Arkansas","050","St Francis","1230","St Francis",58,32,24,29,24,18,16,11,12,35,19,18,9,3,2,1,0,0,0,0,0,311,2621
"G0501250","1860","Arkansas","050","Saline","1250","Saline",50,33,15,13,11,11,9,4,4,12,4,3,0,0,0,0,0,0,0,0,0,169,749
"G0501270","1860","Arkansas","050","Scott","1270","Scott",14,7,6,5,5,0,4,4,1,2,2,0,0,0,0,0,0,0,0,0,0,50,215
"G0501290","1860","Arkansas","050","Searcy","1290","Searcy",6,3,1,1,3,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,20,93
"G0501310","1860","Arkansas","050","Sebastian","1310","Sebastian",29,19,17,9,8,2,8,6,7,5,6,4,0,0,1,0,0,0,0,0,0,121,680
"G0501330","1860","Arkansas","050","Sevier","1330","Sevier",76,51,30,32,21,12,11,11,19,37,17,21,6,6,1,3,3,0,0,0,0,357,3366
"G0501390","1860","Arkansas","050","Union","1390","Union",89,60,45,43,34,32,22,34,15,90,51,40,19,12,11,10,0,0,0,0,0,607,6331
"G0501410","1860","Arkansas","050","Van Buren","1410","Van Buren",18,11,10,2,2,2,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,53,200
"G0501430","1860","Arkansas","050","Washington","1430","Washington",73,40,36,33,26,16,19,10,11,22,11,2,1,1,0,0,0,0,0,0,0,301,1493
"G0501450","1860","Arkansas","050","White","1450","White",58,40,30,29,17,9,8,8,8,20,11,8,2,1,1,0,0,0,0,0,0,250,1432
"G0501490","1860","Arkansas","050","Yell","1490","Yell",35,18,12,16,13,9,7,6,1,20,4,5,3,0,0,0,0,0,0,0,0,149,998
"G0600010","1860","California","060","Alameda","0010","Alameda",,,,,,,,,,,,,,,,,,,,,,,
"G0600050","1860","California","060","Amador","0050","Amador",,,,,,,,,,,,,,,,,,,,,,,
"G0600070","1860","California","060","Butte","0070","Butte",,,,,,,,,,,,,,,,,,,,,,,
"G0600090","1860","California","060","Calaveras","0090","Calaveras",,,,,,,,,,,,,,,,,,,,,,,
"G0600110","1860","California","060","Colusa","0110","Colusa",,,,,,,,,,,,,,,,,,,,,,,
"G0600130","1860","California","060","Contra Costa","0130","Contra Costa",,,,,,,,,,,,,,,,,,,,,,,
"G0600150","1860","California","060","Del Norte","0150","Del Norte",,,,,,,,,,,,,,,,,,,,,,,
"G0600170","1860","California","060","El Dorado","0170","El Dorado",,,,,,,,,,,,,,,,,,,,,,,
"G0600190","1860","California","060","Fresno","0190","Fresno",,,,,,,,,,,,,,,,,,,,,,,
"G0600230","1860","California","060","Humboldt","0230","Humboldt",,,,,,,,,,,,,,,,,,,,,,,
"G0600315","1860","California","060","Klamath","0315","Klamath",,,,,,,,,,,,,,,,,,,,,,,
"G0600370","1860","California","060","Los Angeles","0370","Los Angeles",,,,,,,,,,,,,,,,,,,,,,,
"G0600410","1860","California","060","Marin","0410","Marin",,,,,,,,,,,,,,,,,,,,,,,
"G0600430","1860","California","060","Mariposa","0430","Mariposa",,,,,,,,,,,,,,,,,,,,,,,
"G0600450","1860","California","060","Mendocino","0450","Mendocino",,,,,,,,,,,,,,,,,,,,,,,
"G0600470","1860","California","060","Merced","0470","Merced",,,,,,,,,,,,,,,,,,,,,,,
"G0600530","1860","California","060","Monterey","0530","Monterey",,,,,,,,,,,,,,,,,,,,,,,
"G0600550","1860","California","060","Napa","0550","Napa",,,,,,,,,,,,,,,,,,,,,,,
"G0600570","1860","California","060","Nevada","0570","Nevada",,,,,,,,,,,,,,,,,,,,,,,
"G0600610","1860","California","060","Placer","0610","Placer",,,,,,,,,,,,,,,,,,,,,,,
"G0600630","1860","California","060","Plumas","0630","Plumas",,,,,,,,,,,,,,,,,,,,,,,
