GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ABX001,ABX002,ABX003,ABX004,ABX005,ABX006,ABX007,ABX008,ABX009,ABX010,ABX011,ABX012,ABX013,ABX014,ABX015,ABX016,ABX017,ABX018,ABX019,ABX020,ABX021,ABX022,ABX023,ABX024,ABO001,ABO002,ABO003,ABO004,ABO005,ABO006,ABQ001,ABQ002
"G0550375","1830","Arkansas Territory","055","Pulaski","0375","Pulaski",75,75,51,20,2,0,68,79,47,19,3,0,2,4,3,4,0,0,1,2,5,4,3,0,1063,865,223,216,13,15,439,28
"G0550395","1830","Arkansas Territory","055","St Francis","0395","St Francis",26,20,16,4,1,0,23,25,15,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,755,613,67,69,1,0,136,1
"G0550415","1830","Arkansas Territory","055","Sevier","0415","Sevier",14,10,12,1,0,0,9,12,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,283,285,37,29,0,0,66,0
"G0550435","1830","Arkansas Territory","055","Union","0435","Union",39,20,20,8,2,0,35,29,10,9,2,0,2,1,0,1,0,0,0,0,0,0,0,0,269,193,89,85,4,0,174,4
"G0550455","1830","Arkansas Territory","055","Washington","0455","Washington",29,35,12,7,2,0,33,30,16,2,4,0,3,0,0,0,0,0,1,0,1,0,0,0,1080,927,85,85,3,2,170,5
"G0900010","1830","Connecticut","090","Fairfield","0010","Fairfield",0,1,0,0,1,0,0,1,0,1,4,0,177,216,132,107,54,0,195,203,128,96,79,1,22731,22883,2,6,686,702,8,1388
"G0900030","1830","Connecticut","090","Hartford","0030","Hartford",0,0,0,0,0,0,0,0,0,0,1,0,120,162,136,89,45,1,131,177,129,92,58,1,24816,25173,0,1,553,588,1,1141
"G0900050","1830","Connecticut","090","Litchfield","0050","Litchfield",0,0,0,0,2,0,0,0,0,0,0,0,160,126,111,90,48,0,159,160,110,78,39,3,20927,20845,2,0,535,549,2,1084
"G0900070","1830","Connecticut","090","Middlesex","0070","Middlesex",0,0,0,0,0,0,0,0,0,1,1,0,73,71,49,31,12,0,72,89,59,43,21,0,11777,12545,0,2,236,284,2,520
"G0900090","1830","Connecticut","090","New Haven","0090","New Haven",1,1,0,0,1,0,1,2,0,2,1,0,135,169,123,91,48,0,127,173,128,105,69,0,21070,21600,3,6,566,602,9,1168
"G0900110","1830","Connecticut","090","New London","0110","New London",0,0,0,1,0,0,0,0,0,0,1,0,224,242,148,147,71,1,231,310,188,154,111,4,19866,20502,1,1,833,998,2,1831
