GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ABK001,ABK002,ABK003,ABK004,ABK005,ABK006,ABK007,ABK008,ABK009,ABK010,ABK011,ABK012,ABK013,ABK014,ABK015,ABK016,ABL001,ABB001,ABB002,ABB003,ABB004,ABB005,ABB006
"G1302450","1820","Georgia","130","Richmond","2450","Richmond",801,683,760,305,800,710,546,226,22,16,5,6,23,15,16,7,0,2136,1531,2549,2282,49,61
"G1302510","1820","Georgia","130","Screven","2510","Screven",397,216,254,100,377,235,189,65,5,2,4,1,2,1,0,3,0,1085,1005,967,866,12,6
"G1302670","1820","Georgia","130","Tattnall","2670","Tattnall",139,78,46,28,128,66,65,18,3,3,1,1,2,3,0,0,0,1062,1001,291,277,8,5
"G1302710","1820","Georgia","130","Telfair","2710","Telfair",158,80,62,32,139,77,81,17,6,5,2,1,11,4,5,1,0,746,677,332,314,14,21
"G1302890","1820","Georgia","130","Twiggs","2890","Twiggs",833,504,370,100,779,545,326,70,3,2,2,1,2,3,2,2,0,3680,3416,1807,1720,8,9
"G1302970","1820","Georgia","130","Walton","2970","Walton",147,75,42,17,177,98,61,14,1,1,0,1,1,0,0,1,0,1832,1724,281,350,3,2
"G1303010","1820","Georgia","130","Warren","3010","Warren",991,507,387,193,941,476,387,159,13,6,4,4,14,6,4,8,0,3300,3230,2078,1963,27,32
"G1303030","1820","Georgia","130","Washington","3030","Washington",984,501,380,172,819,518,359,165,12,7,1,1,5,4,1,1,0,3366,3331,2037,1861,21,11
"G1303050","1820","Georgia","130","Wayne","3050","Wayne",75,50,45,16,80,40,15,12,0,0,2,0,2,1,0,1,0,327,344,186,147,2,4
"G1303170","1820","Georgia","130","Wilkes","3170","Wilkes",2172,1356,959,409,2157,1321,906,425,5,7,12,11,6,6,8,8,1,4011,3827,4896,4809,35,28
"G1303190","1820","Georgia","130","Wilkinson","3190","Wilkinson",345,180,117,58,311,250,141,61,3,2,0,1,4,1,2,0,0,2862,2654,700,763,6,7
"G1700030","1820","Illinois","170","Alexander","0030","Alexander",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,333,0,0,0,0
"G1700050","1820","Illinois","170","Bond","0050","Bond",5,7,3,1,4,6,1,0,4,4,2,0,4,4,4,0,0,1546,1336,16,11,10,12
"G1700230","1820","Illinois","170","Clark","0230","Clark",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,490,440,0,1,0,0
"G1700330","1820","Illinois","170","Crawford","0330","Crawford",0,0,0,0,0,0,0,0,14,6,9,4,15,12,7,5,23,1535,1392,0,0,33,39
"G1700470","1820","Illinois","170","Edwards","0470","Edwards",0,1,2,0,2,1,1,0,0,2,5,1,3,2,2,0,0,1861,1561,3,4,8,7
"G1700550","1820","Illinois","170","Franklin","0550","Franklin",2,1,1,0,1,1,1,0,17,7,4,4,17,10,3,3,0,873,818,4,3,32,33
"G1700590","1820","Illinois","170","Gallatin","0590","Gallatin",38,70,69,24,26,22,13,5,8,3,7,1,3,1,4,1,0,1609,1251,201,66,19,9
"G1700770","1820","Illinois","170","Jackson","0770","Jackson",11,7,4,2,4,7,1,3,0,0,0,0,0,0,0,0,0,844,659,24,15,0,0
"G1700810","1820","Illinois","170","Jefferson","0810","Jefferson",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,387,302,0,1,1,0
"G1700870","1820","Illinois","170","Johnson","0870","Johnson",4,1,1,0,3,3,0,1,0,0,1,0,0,0,0,0,0,432,397,6,7,1,0
"G1701190","1820","Illinois","170","Madison","1190","Madison",19,15,9,13,22,16,15,1,4,5,1,2,4,0,1,0,0,7554,5869,56,54,12,5
"G1701330","1820","Illinois","170","Monroe","1330","Monroe",2,3,0,0,5,1,1,1,4,1,1,2,0,0,1,1,21,828,665,5,8,8,2
"G1701510","1820","Illinois","170","Pope","1510","Pope",0,0,0,0,0,0,0,0,0,12,1,1,11,6,3,0,0,1324,1252,0,0,14,20
"G1701570","1820","Illinois","170","Randolph","1570","Randolph",49,39,25,13,41,39,20,7,24,8,9,3,23,3,8,6,0,1751,1424,126,107,44,40
"G1701630","1820","Illinois","170","St Clair","1630","St Clair",18,17,10,13,8,16,9,7,8,14,13,5,20,8,8,6,5,2861,2207,58,40,40,42
"G1701810","1820","Illinois","170","Union","1810","Union",6,4,4,0,6,2,2,0,0,0,0,0,0,0,0,0,0,1254,1084,14,10,0,0
"G1701890","1820","Illinois","170","Washington","1890","Washington",5,4,2,0,9,1,4,1,2,3,0,0,2,0,0,0,0,839,645,11,15,5,2
"G1701910","1820","Illinois","170","Wayne","1910","Wayne",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,574,537,2,1,0,0
"G1701930","1820","Illinois","170","White","1930","White",9,10,3,0,7,13,3,3,1,6,2,1,2,4,3,0,0,2546,2215,22,26,10,9
"G1800190","1820","Indiana","180","Clark","0190","Clark",0,0,0,0,0,0,0,0,28,11,13,16,31,15,10,14,0,4478,4093,0,0,68,70
"G1800250","1820","Indiana","180","Crawford","0250","Crawford",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380,1203,0,0,0,0
"G1800270","1820","Indiana","180","Daviess","0270","Daviess",0,0,0,0,0,0,0,0,4,8,1,2,5,6,3,3,0,1810,1590,0,0,15,17
"G1800290","1820","Indiana","180","Dearborn","0290","Dearborn",0,0,0,0,0,0,0,0,19,18,2,4,9,9,7,4,0,6029,5367,0,0,43,29
"G1800350","1820","Indiana","180","Delaware","0350","Delaware",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1915,1759,0,0,3,0
"G1800370","1820","Indiana","180","Dubois","0370","Dubois",0,0,0,0,0,0,0,0,1,2,0,0,2,3,0,0,0,612,548,0,0,3,5
"G1800410","1820","Indiana","180","Fayette","0410","Fayette",0,0,0,0,0,0,0,0,2,2,1,0,3,1,0,0,0,3100,2841,0,0,5,4
"G1800430","1820","Indiana","180","Floyd","0430","Floyd",0,0,0,0,0,0,0,0,18,7,6,5,16,10,5,2,0,1431,1276,0,0,36,33
"G1800470","1820","Indiana","180","Franklin","0470","Franklin",0,0,0,0,0,0,0,0,16,8,6,1,17,9,5,3,0,5491,5207,0,0,31,34
"G1800510","1820","Indiana","180","Gibson","0510","Gibson",8,4,0,0,11,4,1,2,8,5,6,5,8,4,7,2,0,2043,1758,12,18,24,21
"G1800610","1820","Indiana","180","Harrison","0610","Harrison",0,0,0,0,0,0,0,0,13,7,11,5,15,7,6,5,0,4038,3768,0,0,36,33
"G1800710","1820","Indiana","180","Jackson","0710","Jackson",0,0,0,0,0,0,0,0,7,2,6,4,7,3,4,3,0,2107,1867,0,0,19,17
"G1800770","1820","Indiana","180","Jefferson","0770","Jefferson",0,0,0,0,0,0,0,0,20,10,14,10,27,11,15,5,0,4134,3792,0,0,54,58
"G1800790","1820","Indiana","180","Jennings","0790","Jennings",0,0,0,0,0,0,0,0,10,5,5,1,8,9,5,2,0,1041,914,0,0,21,24
"G1800830","1820","Indiana","180","Knox","0830","Knox",27,27,9,2,23,11,15,4,43,10,22,17,31,13,22,8,0,2840,2313,65,53,92,74
"G1800930","1820","Indiana","180","Lawrence","0930","Lawrence",0,0,0,0,0,0,0,0,2,3,1,2,1,4,0,2,0,2151,1950,0,0,8,7
"G1801010","1820","Indiana","180","Martin","1010","Martin",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,606,422,0,0,4,0
"G1801050","1820","Indiana","180","Monroe","1050","Monroe",0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,1418,1253,0,0,6,2
"G1801170","1820","Indiana","180","Orange","1170","Orange",0,0,0,0,0,0,0,0,22,7,15,5,25,9,10,3,0,2733,2539,0,0,49,47
"G1801190","1820","Indiana","180","Owen","1190","Owen",1,0,0,0,0,0,0,0,3,3,0,1,2,0,1,0,0,457,370,1,0,7,3
"G1801230","1820","Indiana","180","Perry","1230","Perry",0,0,0,0,0,1,0,0,2,0,2,0,6,1,4,0,0,1221,1093,0,1,4,11
"G1801250","1820","Indiana","180","Pike","1250","Pike",0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,784,681,2,1,2,2
"G1801290","1820","Indiana","180","Posey","1290","Posey",4,3,1,0,1,1,1,0,0,3,0,1,1,0,0,1,0,2095,1949,8,3,4,2
"G1801350","1820","Indiana","180","Randolph","1350","Randolph",0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,948,855,0,0,3,2
"G1801370","1820","Indiana","180","Ripley","1370","Ripley",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,927,893,0,0,2,0
"G1801430","1820","Indiana","180","Scott","1430","Scott",2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1235,1093,2,4,0,0
"G1801470","1820","Indiana","180","Spencer","1470","Spencer",0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,980,897,0,3,2,0
"G1801530","1820","Indiana","180","Sullivan","1530","Sullivan",0,2,1,1,2,1,1,0,2,5,1,2,3,4,1,2,0,1852,1618,4,4,10,10
"G1801550","1820","Indiana","180","Switzerland","1550","Switzerland",0,0,0,0,0,0,0,0,2,1,1,1,1,2,1,0,0,2070,1855,0,0,5,4
"G1801630","1820","Indiana","180","Vanderburgh","1630","Vanderburgh",1,0,0,3,0,2,0,2,0,1,1,0,1,0,0,0,0,948,839,4,4,2,1
"G1801670","1820","Indiana","180","Vigo","1670","Vigo",0,0,0,0,0,0,0,0,8,0,4,0,7,5,2,0,0,1907,1457,0,0,12,14
"G1801675","1820","Indiana","180","Wabash New Purchase *","1675","Wabash New Purchase *",0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,70,72,0,0,2,3
"G1801730","1820","Indiana","180","Warrick","1730","Warrick",0,0,0,0,0,0,1,0,3,2,0,1,0,0,0,0,0,922,820,0,1,6,0
"G1801750","1820","Indiana","180","Washington","1750","Washington",0,0,0,0,0,0,0,0,12,11,5,5,9,5,6,6,0,4626,4354,0,0,33,26
"G1801770","1820","Indiana","180","Wayne","1770","Wayne",0,0,0,0,0,0,0,0,24,2,14,3,10,6,4,3,0,6250,5803,0,0,43,23
"G2100010","1820","Kentucky","210","Adair","0010","Adair",366,203,134,44,352,205,149,56,0,0,3,1,0,0,1,2,0,3681,3568,747,762,4,3
"G2100030","1820","Kentucky","210","Allen","0030","Allen",175,80,61,22,184,106,75,20,3,1,1,0,3,1,1,0,0,2248,2346,338,385,5,5
"G2100090","1820","Kentucky","210","Barren","0090","Barren",604,322,214,73,578,348,226,81,0,0,2,1,0,0,3,1,0,4021,3854,1213,1233,3,4
"G2100110","1820","Kentucky","210","Bath","0110","Bath",305,181,116,33,285,159,110,35,14,4,6,4,13,4,4,3,0,3443,3242,635,589,28,24
"G2100150","1820","Kentucky","210","Boone","0150","Boone",327,193,92,40,318,177,115,34,5,2,1,0,3,4,3,1,0,2755,2472,652,644,8,11
"G2100170","1820","Kentucky","210","Bourbon","0170","Bourbon",1327,820,286,162,1092,692,615,171,28,9,10,19,25,12,15,12,0,6109,6260,2595,2570,66,64
"G2100230","1820","Kentucky","210","Bracken","0230","Bracken",176,106,55,26,146,79,67,21,9,5,4,5,9,5,5,2,0,2294,2266,363,313,23,21
"G2100270","1820","Kentucky","210","Breckinridge","0270","Breckinridge",274,162,111,77,285,183,104,71,0,0,0,0,0,0,0,1,0,3233,2984,624,643,0,1
"G2100290","1820","Kentucky","210","Bullitt","0290","Bullitt",337,151,140,51,267,159,104,36,1,0,0,4,1,1,1,0,0,2340,2238,679,566,5,3
"G2100310","1820","Kentucky","210","Butler","0310","Butler",130,62,33,12,114,71,44,6,0,0,0,0,0,0,0,0,0,1336,1275,237,235,0,0
"G2100330","1820","Kentucky","210","Caldwell","0330","Caldwell",363,199,116,31,325,215,161,34,6,0,3,1,0,0,0,1,0,3906,3661,709,735,10,1
"G2100370","1820","Kentucky","210","Campbell","0370","Campbell",236,136,86,24,178,130,74,33,6,0,0,0,3,1,0,0,0,3132,2983,482,415,6,4
"G2100450","1820","Kentucky","210","Casey","0450","Casey",109,51,33,31,106,72,32,22,6,2,1,4,4,0,0,0,0,1901,1975,224,232,13,4
"G2100470","1820","Kentucky","210","Christian","0470","Christian",849,476,308,98,825,480,344,111,4,4,4,1,5,2,3,2,0,3553,3390,1731,1760,13,12
"G2100490","1820","Kentucky","210","Clark","0490","Clark",869,464,285,117,783,498,337,110,5,4,4,7,7,4,2,8,0,4098,3847,1735,1728,20,21
"G2100510","1820","Kentucky","210","Clay","0510","Clay",49,49,69,13,55,28,17,5,16,17,4,3,27,14,4,5,0,2112,1906,180,105,40,50
"G2100570","1820","Kentucky","210","Cumberland","0570","Cumberland",343,168,113,35,320,213,101,39,3,1,1,1,2,2,2,2,0,3433,3279,659,673,6,8
"G2100590","1820","Kentucky","210","Daviess","0590","Daviess",238,102,66,30,209,106,68,33,3,0,1,1,0,0,1,1,0,1538,1479,436,416,5,2
"G2100650","1820","Kentucky","210","Estill","0650","Estill",71,38,42,7,44,43,23,13,4,1,1,0,2,0,0,0,0,1660,1558,158,123,6,2
"G2100670","1820","Kentucky","210","Fayette","0670","Fayette",2204,1225,885,367,2078,1220,923,372,48,12,23,26,56,17,26,40,0,6939,6789,4681,4593,109,139
"G2100690","1820","Kentucky","210","Fleming","0690","Fleming",281,175,78,22,285,161,108,34,4,4,5,2,6,2,6,2,0,5574,5437,556,588,15,16
"G2100710","1820","Kentucky","210","Floyd","0710","Floyd",43,22,8,8,41,36,17,22,40,25,8,19,25,18,5,3,0,4164,3703,81,116,92,51
"G2100730","1820","Kentucky","210","Franklin","0730","Franklin",862,528,309,110,806,478,340,117,35,6,22,7,18,19,15,17,74,3818,3443,1809,1741,70,69
"G2100770","1820","Kentucky","210","Gallatin","0770","Gallatin",312,180,79,30,303,200,103,35,1,1,3,5,1,0,3,2,0,3023,2794,601,641,10,6
