GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AAQ001,AAQ002,AAQ003,AAD001,AAD002,AAE001,AAE002,AAE003,AAE004,AAF001,AAF002,AAG001,AAG002,AAH001,AAH002,AAH003,AAH004,AAI001,AAJ001,AAL001,AAL002,AAL003,AAL004,AAL005,AAL006,AAL007,AAL008,AAL009,AAL010
"G5101790","1790","Virginia","510","Stafford","1790","Stafford",87,4036,5465,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101810","1790","Virginia","510","Surry","1810","Surry",368,3097,2762,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101830","1790","Virginia","510","Sussex","1830","Sussex",391,5387,4771,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101890","1790","Virginia","510","Warwick","1890","Warwick",33,990,667,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101910","1790","Virginia","510","Washington","1910","Washington",8,450,5167,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101930","1790","Virginia","510","Westmoreland","1930","Westmoreland",114,4425,3183,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101955","1790","Virginia","510","Woodford","1955","Woodford",27,2220,6963,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101990","1790","Virginia","510","York","1990","York",358,2760,2115,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5108305","1790","Virginia","510","Williamsburg","8305","Williamsburg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5109993","1790","Virginia","510","Virginia (KY part) [multi-county reporting area]","9993","Virginia [KY part]",114,12430,61133,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5109997","1790","Virginia","510","Virginia (non-KY part) [multi-county reporting area]","9997","Virginia  [non-KY part]",12866,292627,442117,,,,,,,,,,,,,,,,,,,,,,,,,,
